District,Type,Affiliated house 2015,Affiliated room 2015,Affiliated bed 2015,Affiliated house 2016,Affiliated room 2016,Affiliated bed 2016,Affiliated house 2017,Affiliated room 2017,Affiliated bed 2017,Affiliated house 2018,Affiliated room 2018,Affiliated bed 2018
,Community,7,14,28,7,14,28,7,14,28,0,0,0
,Private,2,4,6,2,4,6,2,4,6,9,18,34
Chitwan,Total,9,18,34,9,18,34,9,18,34,9,18,34
,Community,,,,,,,,,,0,0,0
Kaski,Private,,,,,,,,,,2,8,16
,Total,,,,,,,,,,2,8,16
,Community,7,16,30,7,16,30,7,16,30,7,16,30
,Private,0,0,0,0,0,0,0,0,0,1,3,6
Makwanpur,Total,7,16,30,7,16,30,7,16,30,8,19,36
,Community,5,9,18,5,9,18,5,9,18,9,15,18
,Private,0,0,0,0,0,0,1,4,6,1,4,6
Dhading,Total,5,9,18,5,9,18,6,13,24,10,19,24
,Community,,,,,,,,,,,,
,Private,,,,,,,,,,1,4,8
Rasuwa,Total,,,,,,,,,,1,4,8
,Community,17,32,64,16,17,34,16,17,34,18,17,34
,Private,0,0,0,0,0,0,0,0,0,0,0,0
Pyuthan,Total,17,32,64,16,17,34,16,17,34,18,17,34
,Community,174,234,451,218,354,650,218,354,650,245,376,628
Total,Private,43,136,240,53,153,228,65,200,298,79,221,378
Total,,217,370,691,271,507,878,283,554,948,324,597,1006
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Source: Department of Tourism,,,,,,,,,,,,,
