Year,Total,0-15,16-30,31-45,46-60,60+,Not Sp.
1993,"293,567","15,289","91,947","96,665","59,768","29,898",NA
1994,"326,531","20,097","96,016","106,260","66,174","37,984",NA
1995,"363,395","22,878","106,603","120,212","76,647","37,055",NA
1996,"393,613","22,185","94,924","116,307","89,751","70,446",NA
1997,"421,857","23,840","121,286","126,828","107,111","42,792",NA
1998,"463,684","26,763","122,103","151,846","121,190","41,782",NA
2000,"463,646","19,136","119,816","148,063","125,140","51,491",NA
2001,"361,237",14608,95801,115678,93621,41529,NA
2002,"275,468",12425,67774,99622,67017,28630,NA
2003,"338,132",16056,"78,357","99,740","85,753","58,226",NA
2004,385297,"38,734",84125,"128,267","96,920","37,251",NA
2005,"375,398","30,429","57,115","114,103","106,077","67,674",NA
2006,"383,926","37,433","75,626","123,541","95,260","52,066",NA
2007,"526,705","38,870","112,879","164,488","130,756","69,927","9,785"
2008,"500,277","42,581","106,596","150,171","121,387","60,531","19,011"
2009,"509,956","84,891","140,805","141,955","99,197","39,638","3,470"
2010,"602,867","41,156","120,395","189,852","172,800","64,593","14,071"
2011,"736,215","32,795","171,081","212,176","177,983","82,726","59,454"
2012,"803,092","35,468","181,558","231,117","201,835","109,239","43,875"
2013,"797,616",46262,190630,237690,195416,115654,11964
2014,"790,118",50441,185685,235738,183582,106666,28007
2015,538970,19614,123444,157416,129614,74518,34365
2016,753002,29825,154960,218479,199139,130627,19972
2017,940218,35332,217143,292827,244342,141316,9258
2018,1173072,54870,269648,360237,303452,173299,11566
