MONTH,FLIGHT MOVEMENT DEP,FLIGHT MOVEMENT  ARR,TOTAL,PASSENGER MOVEMENT OUT,PASSENGER MOVEMENT  IN,TOTAL,TRANSIT
JAN,1443,1441,2884,206057,181839,387896,63
FEB,1348,1352,2700,164322,185110,349432,23
MAR,1522,1522,3044,201625,198512,400137,88
APR,1461,1458,2919,205967,191640,397607,46
MAY,1425,1420,2845,197354,158556,355910,
JUN,1264,1266,2530,154764,147451,302215,66
JUL,1286,1290,2576,146828,148730,295558,20
AUG,1325,1325,2650,166396,161595,327991,255
SEP,1369,1368,2737,148307,183131,331438,126
OCT,1592,1590,3182,188092,245398,433490,32
NOV,1473,1473,2946,216006,196657,412663,27
DEC,1443,1441,2884,206057,181839,387896,205
TOTAL,16951,16946,33897,2201775,2180458,4382233,951
