S.N.,Nationality,Shrawan,Bhadra,Ashoj,Kartik,Mangsir,Paush,Magh,Falgun,Chaitra,Baisakh,Jestha,Ashad,Total
1,AMERICAN,4,3,5,4,6,2,1,3,5,3,5,5,46
2,AUSTRIA,0,1,0,1,1,0,0,0,1,0,0,0,4
3,ARGENTINA,0,0,0,0,0,0,0,0,0,1,0,0,1
4,AUSTRALIAN,2,1,5,8,11,3,3,5,4,8,3,2,55
6,BANGLADESHI,3,0,1,0,0,0,13,0,0,0,1,1,19
7,BELGIUM,0,0,0,2,1,0,1,0,2,2,0,0,8
8,BURIEN,1,0,0,0,0,0,0,0,0,0,0,0,1
9,BAHRAINI,3,0,0,0,0,0,0,0,0,1,1,0,5
10,BRAZILIAN,0,0,0,1,1,0,1,0,0,0,0,4,7
11,BRITISH,2,4,4,6,6,2,0,6,5,4,4,0,43
,BHUTANESE,0,0,0,0,0,0,1,0,0,0,0,0,1
12,CANADIAN,3,1,1,1,0,6,0,1,3,0,3,1,20
13,CHINESE,12,4,5,4,3,6,7,7,4,3,7,5,67
14,CHILI,0,1,0,0,0,0,0,1,0,5,0,0,7
15,Colombia,1,0,0,0,0,0,0,1,0,0,1,0,3
16,CROATIAN,1,0,0,0,0,0,0,0,0,0,0,0,1
17,CZECH  REPUBLIC,1,0,0,0,0,0,0,0,0,0,1,1,3
18,DANISH,0,0,0,1,0,0,0,0,1,1,1,1,5
19,DENMARK,0,0,0,0,1,1,0,0,0,0,0,0,2
20,DUTCH/Netherland,0,3,1,2,2,2,2,0,5,0,2,2,21
21,ESTONIA,0,0,0,0,0,0,0,0,0,3,0,0,3
22,FRENCH,2,2,1,3,7,1,1,0,1,7,3,3,31
23,FINLAND,0,0,0,0,0,1,0,1,4,0,1,1,8
25,GERMAN,1,2,4,2,7,0,0,2,1,5,4,0,28
26,GREECE,0,1,0,0,0,0,0,1,1,3,0,0,6
29,INDIAN,3,0,0,2,3,3,3,1,0,8,3,2,28
30,INDONESIAN,0,0,3,0,2,0,0,0,0,0,0,0,5
32,IRISH,0,0,0,0,0,0,0,1,0,0,0,0,1
33,IRANIAN,0,0,0,0,1,0,0,1,0,0,0,0,2
34,ISRAELI,0,2,3,4,1,2,1,1,4,3,0,0,21
35,ITALIAN,2,1,1,1,0,1,1,0,1,0,0,1,9
36,IVORY COAST,0,0,0,0,0,0,0,0,0,1,0,0,1
37,JAPANESE,3,4,2,3,0,4,0,3,1,0,0,2,22
