Main Indicator,2016,2017,2018
Number of Nepalese Airlines operating international flight,3,3,3
Number of International Airlines operating,26,30,29
Number of countries Bilateral agreement for Airlines service,38,38,39
Number of total airlines seats*,8000000,8000000,8000000
"Number of Domestic airline Companies  operation(both roter & fixed wings)",19,20,20
Number of International Airport,1,1,1
Number of Fixed Wings Operation,10,10,10
Number of Helicopters operation,9,10,10
Number of Aviation Recreation companies,75,74,75
Number of Airport operation in all seasons,26,29,31
Number of Airport operation,32,32,35
