MONTH,FLIGHT MOVEMENT DEP,FLIGHT MOVEMENT ARR,FLIGHT MOVEMENT TOTAL,PASSENGERS OUT,PASSENGERS IN,PASSENGERS TOTAL
JAN,2942,2939,5881,89940,84891,174831
FEB,3125,3129,6254,103906,95728,199634
MAR,4334,4336,8670,126961,109061,236022
APR,4958,4945,9903,132251,123814,256065
MAY,4642,4639,9281,118329,116706,235035
JUN,3246,3245,6491,111336,105879,217215
JUL,2860,2862,5722,104864,103520,208384
AUG,3279,3276,6555,114771,109702,224473
SEP,3844,3854,7698,123036,112905,235941
OCT,5730,5730,11460,166726,146563,313289
NOV,5067,5069,10136,149694,144460,294154
DEC,3769,3766,7535,130268,122475,252743
TOTAL,47796,47790,95586,1472082,1375704,2847786
