,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018
Month,Nepali,Foreigner,Total,Nepali,Foreigner,Total,Nepali,Foreigner,Total,Nepali,Foreigner,Total
Jan,366,935,1301,530,870,1400,630,860,1490,700,905,1605
Feb,465,822,1287,1040,1040,1370,432,1050,1482,521,1103,1624
March,411,911,1322,1020,1020,1420,405,1020,1425,505,1139,1644
April,468,913,1581,1040,1040,1360,310,1045,1355,352,1062,1414
May,224,90,314,1146,1146,1581,485,1155,1640,551,1307,1858
June,103,36,139,1350,1350,1555,205,1330,1535,291,1339,1630
July,135,38,173,980,980,1230,260,1020,1280,360,1107,1467
Aug,187,152,239,1360,1360,1720,380,1330,1710,489,1430,1919
Sep,236,210,446,1509,1509,1874,355,1517,1872,555,1531,2086
Oct,243,495,1238,1640,1640,2120,510,1647,2157,607,1632,2239
Nov,307,534,841,1340,1340,1940,605,1380,1985,644,1489,2133
Dec,162,556,718,1130,1130,1430,310,1030,1340,344,1054,1398
Total,3307,5692,8999,4675,14666,19341,4887,14384,19271,5919,15098,21017
