Indicators,2017,2018,% Change
Tourist Arrival by Major Five Airlines:,,,
Rank 1,Jet Airways,Nepal Airlines,
Rank 2,Nepal Airlines,Jet Airways,
Rank 3,Qatar Air,Qatar Air,
Rank 4,Air Arabia,Fly Dubai,
Rank 5,Fly Dubai,Air India,
Mountaineering Expedition:,,,
Total  Team,1798,1910,5.86
Total  Person,8206,8641,5.03
Royalty to Government (Rs.’ 000),387416,467938,17.21
Revenue from Tourism:,,,
Total  Earning(US$ ‘ 000),658092,703179,6.41
Average expenses / Visitor / day ( US$),54,44,-22.73
Tourism Related Enterprises   :,,,
Hotel (star),125,129,3.10
Hotel ( Non star),977,1125,13.16
Beds (total),39833,40856,2.50
Travel Agencies,3224,3508,8.10
Trekking Agencies,2637,2649,0.45
Tourist Guide,3876,4126,6.06
Trekking Guide,13831,16248,14.88
