Protected Area,2070/71,2071/72,2072/73,2073/74,2074/75
Chitwan National Park,173425,178257,87391,139125,118621
Bardiya National Park,13207,13548,10638,17959,6773
Langtang National Park,12552,12265,5016,8254,10619
Sagarmatha National Park,35157,34412,27794,45112,56303
Rara National Park,181,143,132,201,317
Shey Phoksundo National Park,417,383,431,535,469
Khaptad National Park,47,2,21,26,21
Makalu Barun National Park,1083,1270,828,1537,1252
Shivapuri Nagarjun National Park,NA,NA,NA,NA,16813
Banke National Park,0,0,0,4,1
Shukla Phata Wildlife Reserve,NA,NA,NA,NA,464
Koshi Tappu Wildlife Reserve,NA,NA,NA,NA,436
Parsa Wildlife Reserve,379,263,235,417,95
Dhorpatan Hunting Reserve,89,0,91,163,119
Krishnasar Conservation ARea,0,NA,NA,NA,43
Apinappa Consersation Area,0,3,29,19,36
Kanchanjunga Conservation Area,0,0,502,479,821
Annapurna Conservation Area,124998,114418,83419,144409,172720
Manaslu Conservation Area,5331,5658,2287,5745,7200
Gaurishanker Conservation Area,2914,2818,1840,2770,2668
Total,,,,,395791
