,,Permission,,,Success,
Country,Female,Male,Total,Female,Male,Total
Albania,,,,1,,1
Algeria,,2,2,,,
American Samoa,,2,2,,1,1
Angola,,1,1,1,,1
Argentina,,5,5,,3,3
Australia,19,49,68,4,23,27
Austria,9,50,59,4,19,23
Bahamas,,1,1,,1,1
Belarus,1,,1,,,
Belgium,1,12,13,,7,7
Brazil,3,11,14,2,9,11
Britain,2,15,17,1,6,7
Bulgaria,6,6,12,,1,1
Canada,8,35,43,2,12,14
Chile,2,12,14,1,4,5
China,39,127,166,31,98,129
Costa Rica,,1,1,,1,1
Cyprus,,1,1,,,
Czech Republic,3,29,32,,8,8
Denmark,,4,4,,2,2
Ecuador,2,6,8,,,
Finland,2,2,4,2,,2
France,49,113,162,10,42,52
Georgia,,3,3,,1,1
Germany,30,60,90,14,27,41
Greece,,4,4,,4,4
Netherlands,3,,3,3,,3
Hong Kong,,3,3,,3,3
Hungary,4,3,7,3,1,4
Iceland,,,,,1,1
India,13,74,87,13,67,80
Ireland,1,9,10,,4,4
Islamic Republic of Iran,,2,2,,2,2
Israel,,3,3,,,
Italy,9,47,56,3,18,21
Japan,19,106,125,11,42,53
Jordan,1,,1,1,,1
Kazakhstan,,4,4,,1,1
"Korea, Republic of",8,10,18,,1,1
Kyrgyaz Republic,,1,1,,,
Lebanon,,1,1,,,
Lithuania,,2,2,,2,2
Macedonia,,1,1,,,
Malaysia,1,7,8,1,3,4
Mexico,4,11,15,1,5,6
Mongolia,,2,2,,2,2
Myanmar,1,1,2,,,
Nepal,25,1317,1342,21,731,752
Netherlands,5,18,23,3,10,13
New Zealand,7,14,21,3,6,9
Norway,4,18,22,7,3,10
Oman,1,,1,,,
Peru,,2,2,,,
Poland,16,14,30,7,5,12
Portugal,,7,7,,,
Republic of Ireland,,1,1,,1,1
Romania,1,16,17,1,6,7
Russia,,1,1,,1,1
Russian Federation,16,35,51,5,9,14
Serbia,1,3,4,,,
Singapore,2,5,7,,4,4
Slovakia,,1,1,1,,1
Slovenia,,5,5,,,
South Africa,3,7,10,1,2,3
