"",,Permission,,,Success,
Country,Female,Male,Total,Female,Male,Total
Islamic Republic of Iran,,2,2,,2,2
Israel,,3,3,,,
Italy,9,47,56,3,18,21
Japan,19,106,125,11,42,53
Jordan,1,,1,1,,1
Kazakhstan,,4,4,,1,1
"Korea, Republic of",8,10,18,,1,1
Kyrgyaz Republic,,1,1,,,
Lebanon,,1,1,,,
Lithuania,,2,2,,2,2
Macedonia,,1,1,,,
Malaysia,1,7,8,1,3,4
Mexico,4,11,15,1,5,6
Mongolia,,2,2,,2,2
Myanmar,1,1,2,,,
Nepal,25,1317,1342,21,731,752
Netherlands,5,18,23,3,10,13
New Zealand,7,14,21,3,6,9
Norway,4,18,22,7,3,10
Oman,1,,1,,,
Peru,,2,2,,,
Poland,16,14,30,7,5,12
Portugal,,7,7,,,
Republic of Ireland,,1,1,,1,1
Romania,1,16,17,1,6,7
Russia,,1,1,,1,1
Russian Federation,16,35,51,5,9,14
Serbia,1,3,4,,,
Singapore,2,5,7,,4,4
Slovakia,,1,1,1,,1
Slovenia,,5,5,,,
South Africa,3,7,10,1,2,3
