Mountain,No. of member,Royalty USD,Royalty Nrs.
Makalu (8463m.),27,48600,5042250
Makalu-ii (7678m.),9,5400,563166
Manaslu (8163m.),200,187200,21040090.38
Mansail South (6251m.),12,1500,176850
Mukot Himal (6087m.),17,2250,261980
Mustang Himal (6195m.),141,21730,3142517.6
Niligiri North (7061m.),2,500,58000
Norbu Kang (6005m),8,1000,113650
Nupla Khang (6861m),7,1400,163800
Nuptse (7855m.),42,25200,2653776
Omi Tso Go(6332m.),4,1000,103750
Pankar Himal (6264m.),6,1500,155550
Peri Himal (6174m.),1,250,26600
Pumori (7161m),18,4500,522312.5
Purbang (6500m.),3,375,44493.75
Putha (7246m.),11,2750,315425
Saipal (7031m),20,4000,481125
Saribung (6346m.),248,35840,4058996.5
Sharphu II (6164m),2,250,29475
Shey Shikhar (6139m),32,2980,340613
Tasartse (6343m),7,875,99406.25
Tashi Kang (6386m),12,3000,319050
Thaknak Ri (Dranganag Ri) (6757m),6,1200,139250
Thamserku (6618m),2,400,45880
Thapa Peak (6012m),76,12140,1347353.75
Thorang Peak (6144m),24,4000,440424.5
Tilicho Peak (7134m.),9,2750,308562.5
Tilkang (6369m.),5,625,72187.5
Tobsar Peak (6100m),3,375,43996.74
Tsartse (6343m.),3,375,43593.75
Tukuche Peak(6920m.),2,400,47140
Yara Chuli (6236m.),3,375,41968.75
Yubra Himal (6048m),6,750,87187.5
Grand Total,2338,4444060,469226347.7
