Mountain,No. of member,Royalty USD,Royalty Nrs.
Aichyn (6055m),12,1500,171812.5
Amadablam (6814m.),402,160600,18614607
Anidesh Chuli (6960m),3,600,68820
Annapurna IV(7525m.),8,2400,283440
Annapurna(8091m.),3,3600,394920
Api (7132m),8,2000,227300
Araniko Chuli (6034m),22,2750,319050
Ardang (6034m),5,625,71768.75
Ariniko Chuli (6039m.),14,980,107163
Baden Powell Scout Peak (5890m),31,3875,442256.25
Baruntse (7129m.),38,11750,1320800
Bhemdang Ri (6150m.),3,70,7949
Bhrikuti (6476m.),15,1875,216937.5
Bhrikuti Shail (6361m.),3,0,3000
Chamlang (7319m),12,4250,462387.5
Changwathang (6130m),12,1500,172837.5
Chhopa bamare (6109m.),10,625,68644.25
Danfe Shail (6103m.),13,1625,189150
Dhawalagiri (8167m.),52,77400,8208000
Dhechyan Khang(6019m.),2,500,52825
Everest  (8848m.),346,3476000,362352600
Ganchenpo (6387),3,750,77850
Gangapurna (7455m),2,500,58125
Gaugiri (6110m.),41,5170,576396.25
Ghustang (6465m),10,1250,145500
Ghyun Himal I (6099m),14,1750,204575
Gurja (7193m.),11,2750,321187.5
Himjung (7092m.),3,750,87187.5
Himlung (7126m.),90,22750,2634737.5
Jobo Rinjang,3,600,69750
Kanchanjunga (8586m.),44,79200,8226720
Khangri Shar (6811m),5,1000,117100
Kumbhakarna (7710m),2,600,68880
Lachama North (6628m),2,400,46760
Langdung(6326m.),15,1875,209168.75
Lhoste (8516m.),111,194700,20295720
Makalu (8463m.),27,48600,5042250
Makalu-ii (7678m.),9,5400,563166
Manaslu (8163m.),200,187200,21040090.38
Mansail South (6251m.),12,1500,176850
Mukot Himal (6087m.),17,2250,261980
Mustang Himal (6195m.),141,21730,3142517.6
Niligiri North (7061m.),2,500,58000
Norbu Kang (6005m),8,1000,113650
Nupla Khang (6861m),7,1400,163800
Nuptse (7855m.),42,25200,2653776
Omi Tso Go(6332m.),4,1000,103750
Pankar Himal (6264m.),6,1500,155550
Peri Himal (6174m.),1,250,26600
Pumori (7161m),18,4500,522312.5
Purbang (6500m.),3,375,44493.75
Putha (7246m.),11,2750,315425
Saipal (7031m),20,4000,481125
Saribung (6346m.),248,35840,4058996.5
Sharphu II (6164m),2,250,29475
Shey Shikhar (6139m),32,2980,340613
Tasartse (6343m),7,875,99406.25
Tashi Kang (6386m),12,3000,319050
Thaknak Ri (Dranganag Ri) (6757m),6,1200,139250
Thamserku (6618m),2,400,45880
Thapa Peak (6012m),76,12140,1347353.75
Thorang Peak (6144m),24,4000,440424.5
Tilicho Peak (7134m.),9,2750,308562.5
Tilkang (6369m.),5,625,72187.5
Tobsar Peak (6100m),3,375,43996.74
Tsartse (6343m.),3,375,43593.75
Tukuche Peak(6920m.),2,400,47140
Yara Chuli (6236m.),3,375,41968.75
Yubra Himal (6048m),6,750,87187.5
Grand Total,2338,4444060,469226347.7
